CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Class,Churn_Status,Lifecycle_Segment
12463,52,4,1344.78,3,4,4,344,Active,Average Mid-Tier Core
12464,9,8,1212.05,5,5,4,554,Active,VIP / Core Loyalist
12465,16,2,742.1899999999999,4,2,3,423,Active,Average Mid-Tier Core
12468,187,2,729.5400000000001,1,2,3,123,Churned,Hibernating / Lost
12471,1,30,19824.05,5,5,5,555,Active,VIP / Core Loyalist
12472,31,7,6572.11,4,5,5,455,Active,VIP / Core Loyalist
12473,28,5,3938.5499999999997,4,4,5,445,Active,VIP / Core Loyalist
12474,16,18,7375.79,4,5,5,455,Active,VIP / Core Loyalist
12475,53,1,723.38,3,1,3,313,Active,New / Recent Trialist
12476,15,11,6816.42,4,5,5,455,Active,VIP / Core Loyalist
12477,22,6,13219.74,4,4,5,445,Active,VIP / Core Loyalist
12478,3,1,680.99,5,1,3,513,Active,New / Recent Trialist
12479,10,1,527.2,5,1,3,513,Active,New / Recent Trialist
12480,27,4,3281.63,4,4,5,445,Active,VIP / Core Loyalist
12481,22,10,5596.32,4,5,5,455,Active,VIP / Core Loyalist
12483,16,8,2484.98,4,5,5,455,Active,VIP / Core Loyalist
12484,32,6,4541.72,4,4,5,445,Active,VIP / Core Loyalist
12488,9,3,1298.66,5,3,4,534,Active,Average Mid-Tier Core
12489,335,1,334.93,1,1,2,112,Churned,Hibernating / Lost
12490,4,10,5417.93,5,5,5,555,Active,VIP / Core Loyalist
12491,38,1,460.40000000000003,3,1,2,312,Active,New / Recent Trialist
12492,62,2,263.21000000000004,3,2,2,322,Active,Average Mid-Tier Core
12493,165,2,433.74,2,2,2,222,Churned,Hibernating / Lost
12494,15,7,1246.1000000000001,4,5,4,454,Active,VIP / Core Loyalist
12497,81,1,1043.1,2,1,4,214,Active,Hibernating / Lost
12498,20,3,403.70000000000005,4,3,2,432,Active,Average Mid-Tier Core
12500,22,11,4257.82,4,5,5,455,Active,VIP / Core Loyalist
12501,336,1,2169.39,1,1,5,115,Churned,Hibernating / Lost
12502,95,5,3723.87,2,4,5,245,Churned,At Risk / High-Value Lapsing
12504,17,2,482.04999999999995,4,2,2,422,Active,Average Mid-Tier Core
12506,232,1,73.5,1,1,1,111,Churned,Hibernating / Lost
12507,133,3,1304.81,2,3,4,234,Churned,At Risk / High-Value Lapsing
12508,25,2,398.27,4,2,2,422,Active,Average Mid-Tier Core
12509,283,1,176.5,1,1,1,111,Churned,Hibernating / Lost
12510,142,2,982.5699999999999,2,2,4,224,Churned,Hibernating / Lost
12512,65,2,138.03,3,2,1,321,Active,Average Mid-Tier Core
12513,112,1,612.29,2,1,3,213,Churned,Hibernating / Lost
12514,266,1,1017.68,1,1,4,114,Churned,Hibernating / Lost
12515,352,1,383.7,1,1,2,112,Churned,Hibernating / Lost
12516,77,2,1312.06,2,2,4,224,Active,Hibernating / Lost
12517,27,5,2502.84,4,4,5,445,Active,VIP / Core Loyalist
12518,0,5,2056.89,5,4,4,544,Active,VIP / Core Loyalist
12519,63,1,340.84,3,1,2,312,Active,New / Recent Trialist
12520,78,5,2634.26,2,4,5,245,Active,At Risk / High-Value Lapsing
12521,142,1,599.68,2,1,3,213,Churned,Hibernating / Lost
12522,38,2,192.72,3,2,1,321,Active,Average Mid-Tier Core
12523,18,11,1789.77,4,5,4,454,Active,VIP / Core Loyalist
12524,8,8,4485.72,5,5,5,555,Active,VIP / Core Loyalist
12526,0,3,1316.66,5,3,4,534,Active,Average Mid-Tier Core
12527,81,3,348.71000000000004,2,3,2,232,Active,At Risk / High-Value Lapsing
12528,8,6,1933.48,5,5,4,554,Active,VIP / Core Loyalist
12530,59,4,1662.28,3,4,4,344,Active,Average Mid-Tier Core
12531,14,1,125.22,4,1,1,411,Active,New / Recent Trialist
12532,29,1,349.83000000000004,4,1,2,412,Active,New / Recent Trialist
12534,130,1,1089.18,2,1,4,214,Churned,Hibernating / Lost
12535,91,2,716.35,2,2,3,223,Churned,Hibernating / Lost
12536,42,3,12601.830000000002,3,3,5,335,Active,Average Mid-Tier Core
12538,28,1,363.95,4,1,2,412,Active,New / Recent Trialist
12539,21,4,5568.35,4,4,5,445,Active,VIP / Core Loyalist
12540,19,17,13400.24,4,5,5,455,Active,VIP / Core Loyalist
12541,29,3,981.18,4,3,4,434,Active,Average Mid-Tier Core
12544,35,1,372.7,3,1,2,312,Active,New / Recent Trialist
12545,74,2,1000.39,2,2,4,224,Active,Hibernating / Lost
12546,46,2,1161.5,3,2,4,324,Active,Average Mid-Tier Core
12547,197,2,207.79999999999998,1,2,1,121,Churned,Hibernating / Lost
12548,165,1,95.19999999999999,2,1,1,211,Churned,Hibernating / Lost
12550,78,1,964.83,2,1,4,214,Active,Hibernating / Lost
12551,357,1,168.0,1,1,1,111,Churned,Hibernating / Lost
12552,38,2,437.82,3,2,2,322,Active,Average Mid-Tier Core
12553,7,10,3692.28,5,5,5,555,Active,VIP / Core Loyalist
12556,49,2,603.71,3,2,3,323,Active,Average Mid-Tier Core
12557,15,5,11990.960000000001,4,4,5,445,Active,VIP / Core Loyalist
12558,7,1,269.96,5,1,2,512,Active,New / Recent Trialist
12559,310,2,561.71,1,2,3,123,Churned,Hibernating / Lost
12560,4,3,2134.01,5,3,5,535,Active,Average Mid-Tier Core
12561,302,1,238.85,1,1,1,111,Churned,Hibernating / Lost
12562,7,7,3781.7400000000002,5,5,5,555,Active,VIP / Core Loyalist
12564,260,1,456.9,1,1,2,112,Churned,Hibernating / Lost
12565,288,1,145.92,1,1,1,111,Churned,Hibernating / Lost
12566,85,1,351.65,2,1,2,212,Active,Hibernating / Lost
12567,22,10,9401.28,4,5,5,455,Active,VIP / Core Loyalist
12569,1,32,4124.69,5,5,5,555,Active,VIP / Core Loyalist
12571,39,2,519.61,3,2,3,323,Active,Average Mid-Tier Core
12572,8,2,1020.42,5,2,4,524,Active,Average Mid-Tier Core
12573,226,1,160.54000000000002,1,1,1,111,Churned,Hibernating / Lost
12574,315,1,218.45,1,1,1,111,Churned,Hibernating / Lost
12576,35,5,1315.83,3,4,4,344,Active,Average Mid-Tier Core
12577,34,3,657.8,3,3,3,333,Active,Average Mid-Tier Core
12578,20,2,2794.51,4,2,5,425,Active,Average Mid-Tier Core
12579,77,1,440.42,2,1,2,212,Active,Hibernating / Lost
12580,246,1,415.7,1,1,2,112,Churned,Hibernating / Lost
12581,39,1,197.71,3,1,1,311,Active,New / Recent Trialist
12582,238,2,511.36,1,2,3,123,Churned,Hibernating / Lost
12583,2,15,7281.38,5,5,5,555,Active,VIP / Core Loyalist
12584,3,9,2338.15,5,5,5,555,Active,VIP / Core Loyalist
12585,233,2,2040.1,1,2,4,124,Churned,Hibernating / Lost
12586,16,1,196.94000000000003,4,1,1,411,Active,New / Recent Trialist
12587,7,1,144.0,5,1,1,511,Active,New / Recent Trialist
12588,38,1,214.89999999999998,3,1,1,311,Active,New / Recent Trialist
12589,28,2,646.68,4,2,3,423,Active,Average Mid-Tier Core
12590,210,2,9864.26,1,2,5,125,Churned,Hibernating / Lost
12591,316,1,452.84999999999997,1,1,2,112,Churned,Hibernating / Lost
12592,91,2,437.6,2,2,2,222,Churned,Hibernating / Lost
12593,108,3,418.09999999999997,2,3,2,232,Churned,At Risk / High-Value Lapsing
12594,37,10,3338.2200000000003,3,5,5,355,Active,Average Mid-Tier Core
12596,50,2,618.27,3,2,3,323,Active,Average Mid-Tier Core
12597,18,4,3811.22,4,4,5,445,Active,VIP / Core Loyalist
12598,9,8,3023.08,5,5,5,555,Active,VIP / Core Loyalist
12599,28,7,1032.58,4,5,4,454,Active,VIP / Core Loyalist
12600,28,10,2599.04,4,5,5,455,Active,VIP / Core Loyalist
12601,189,5,577.0600000000001,1,4,3,143,Churned,At Risk / High-Value Lapsing
12602,58,1,153.12,3,1,1,311,Active,New / Recent Trialist
12603,21,1,739.1999999999999,4,1,3,413,Active,New / Recent Trialist
12604,78,2,254.18,2,2,2,222,Active,Hibernating / Lost
12607,59,1,1579.51,3,1,4,314,Active,New / Recent Trialist
12609,77,3,1126.85,2,3,4,234,Active,At Risk / High-Value Lapsing
12610,22,5,2099.54,4,4,5,445,Active,VIP / Core Loyalist
12611,51,1,1193.32,3,1,4,314,Active,New / Recent Trialist
12612,73,1,704.0400000000001,2,1,3,213,Active,Hibernating / Lost
12613,56,5,3344.38,3,4,5,345,Active,Average Mid-Tier Core
12614,277,1,315.6,1,1,2,112,Churned,Hibernating / Lost
12615,1,4,2291.19,5,4,5,545,Active,VIP / Core Loyalist
12616,94,2,713.3,2,2,3,223,Churned,Hibernating / Lost
12617,28,1,355.53,4,1,2,412,Active,New / Recent Trialist
12618,21,1,177.31,4,1,1,411,Active,New / Recent Trialist
12619,15,9,3641.24,4,5,5,455,Active,VIP / Core Loyalist
12620,14,3,1339.41,4,3,4,434,Active,Average Mid-Tier Core
12621,1,20,13689.67,5,5,5,555,Active,VIP / Core Loyalist
12622,231,1,180.1,1,1,1,111,Churned,Hibernating / Lost
12623,275,1,305.1,1,1,2,112,Churned,Hibernating / Lost
12624,105,2,641.13,2,2,3,223,Churned,Hibernating / Lost
12625,211,2,2683.82,1,2,5,125,Churned,Hibernating / Lost
12626,22,9,6620.48,4,5,5,455,Active,VIP / Core Loyalist
12627,10,7,4478.53,5,5,5,555,Active,VIP / Core Loyalist
12628,3,3,786.46,5,3,3,533,Active,Average Mid-Tier Core
12630,9,2,1270.88,5,2,4,524,Active,Average Mid-Tier Core
12631,56,1,640.5,3,1,3,313,Active,New / Recent Trialist
12633,58,4,2163.98,3,4,5,345,Active,Average Mid-Tier Core
12635,89,2,1689.18,2,2,4,224,Active,Hibernating / Lost
12637,66,8,6021.9,3,5,5,355,Active,Average Mid-Tier Core
12638,32,1,671.69,4,1,3,413,Active,New / Recent Trialist
12639,238,1,486.1,1,1,2,112,Churned,Hibernating / Lost
12640,23,3,1174.58,4,3,4,434,Active,Average Mid-Tier Core
12641,114,1,185.9,2,1,1,211,Churned,Hibernating / Lost
12642,24,3,1013.26,4,3,4,434,Active,Average Mid-Tier Core
12643,127,6,3344.64,2,5,5,255,Churned,At Risk / High-Value Lapsing
12644,129,1,477.91,2,1,2,212,Churned,Hibernating / Lost
12645,33,4,1775.18,3,4,4,344,Active,Average Mid-Tier Core
12646,4,2,1346.97,5,2,4,524,Active,Average Mid-Tier Core
12647,21,12,3722.82,4,5,5,455,Active,VIP / Core Loyalist
12648,154,1,318.05,2,1,2,212,Churned,Hibernating / Lost
12649,106,3,623.51,2,3,3,233,Churned,At Risk / High-Value Lapsing
12650,2,1,314.44,5,1,2,512,Active,New / Recent Trialist
12651,334,1,114.0,1,1,1,111,Churned,Hibernating / Lost
12652,330,1,919.98,1,1,3,113,Churned,Hibernating / Lost
12653,148,2,2209.85,2,2,5,225,Churned,Hibernating / Lost
12654,10,5,601.98,5,4,3,543,Active,Average Mid-Tier Core
12656,16,5,4051.17,4,4,5,445,Active,VIP / Core Loyalist
12657,10,4,1643.18,5,4,4,544,Active,VIP / Core Loyalist
12658,18,1,686.05,4,1,3,413,Active,New / Recent Trialist
12659,29,1,91.68,4,1,1,411,Active,New / Recent Trialist
12660,10,1,245.1,5,1,1,511,Active,New / Recent Trialist
12662,0,11,3849.78,5,5,5,555,Active,VIP / Core Loyalist
12664,7,9,4881.88,5,5,5,555,Active,VIP / Core Loyalist
12665,324,1,63.0,1,1,1,111,Churned,Hibernating / Lost
12667,57,1,620.13,3,1,3,313,Active,New / Recent Trialist
12668,11,4,3807.15,5,4,5,545,Active,VIP / Core Loyalist
12669,150,3,2744.0299999999997,2,3,5,235,Churned,At Risk / High-Value Lapsing
12670,9,5,2996.05,5,4,5,545,Active,VIP / Core Loyalist
12672,329,1,225.89999999999998,1,1,1,111,Churned,Hibernating / Lost
12673,4,2,610.52,5,2,3,523,Active,Average Mid-Tier Core
12674,38,4,1970.6,3,4,4,344,Active,Average Mid-Tier Core
12676,24,6,1331.39,4,5,4,454,Active,VIP / Core Loyalist
12678,41,12,17628.46,3,5,5,355,Active,Average Mid-Tier Core
12679,58,4,1113.02,3,4,4,344,Active,Average Mid-Tier Core
12680,0,4,862.81,5,4,3,543,Active,Average Mid-Tier Core
12681,14,22,13787.54,4,5,5,455,Active,VIP / Core Loyalist
12682,3,31,12288.22,5,5,5,555,Active,VIP / Core Loyalist
12683,3,15,8476.57,5,5,5,555,Active,VIP / Core Loyalist
12684,7,7,2283.63,5,5,5,555,Active,VIP / Core Loyalist
12685,27,6,2863.08,4,5,5,455,Active,VIP / Core Loyalist
12686,371,1,89.14,1,1,1,111,Churned,Hibernating / Lost
12688,113,1,4873.8099999999995,2,1,5,215,Churned,Hibernating / Lost
12689,25,2,1247.61,4,2,4,424,Active,Average Mid-Tier Core
12690,205,1,389.01,1,1,2,112,Churned,Hibernating / Lost
12691,27,6,1035.8,4,5,4,454,Active,VIP / Core Loyalist
12693,126,4,855.91,2,4,3,243,Churned,At Risk / High-Value Lapsing
12694,69,2,869.67,3,2,3,323,Active,Average Mid-Tier Core
12695,6,4,582.1,5,4,3,543,Active,Average Mid-Tier Core
12697,28,3,957.59,4,3,4,434,Active,Average Mid-Tier Core
12700,7,4,4939.99,5,4,5,545,Active,VIP / Core Loyalist
12701,79,2,797.71,2,2,3,223,Active,Hibernating / Lost
12702,19,1,219.0,4,1,1,411,Active,New / Recent Trialist
12703,70,1,283.55,3,1,2,312,Active,New / Recent Trialist
12704,6,8,2340.84,5,5,5,555,Active,VIP / Core Loyalist
12705,14,9,6868.29,4,5,5,455,Active,VIP / Core Loyalist
12707,291,1,603.42,1,1,3,113,Churned,Hibernating / Lost
12708,29,10,2712.91,4,5,5,455,Active,VIP / Core Loyalist
12709,14,15,9736.52,4,5,5,455,Active,VIP / Core Loyalist
12710,96,3,1149.02,2,3,4,234,Churned,At Risk / High-Value Lapsing
12712,28,13,4396.13,4,5,5,455,Active,VIP / Core Loyalist
12713,0,1,848.55,5,1,3,513,Active,New / Recent Trialist
12714,8,5,4708.86,5,4,5,545,Active,VIP / Core Loyalist
12715,105,1,353.86,2,1,2,212,Churned,Hibernating / Lost
12716,3,2,1053.49,5,2,4,524,Active,Average Mid-Tier Core
12717,150,2,1030.98,2,2,4,224,Churned,Hibernating / Lost
12718,70,1,238.25,3,1,1,311,Active,New / Recent Trialist
12719,4,2,644.95,5,2,3,523,Active,Average Mid-Tier Core
12720,2,25,5781.73,5,5,5,555,Active,VIP / Core Loyalist
12721,31,6,2656.13,4,5,5,455,Active,VIP / Core Loyalist
12722,84,4,997.63,2,4,4,244,Active,At Risk / High-Value Lapsing
12723,3,5,725.07,5,4,3,543,Active,Average Mid-Tier Core
12724,4,4,1031.41,5,4,4,544,Active,VIP / Core Loyalist
12725,370,1,427.8,1,1,2,112,Churned,Hibernating / Lost
12726,27,7,2609.1,4,5,5,455,Active,VIP / Core Loyalist
12727,10,7,3980.7,5,5,5,555,Active,VIP / Core Loyalist
12728,70,4,836.33,3,4,3,343,Active,Average Mid-Tier Core
12729,113,1,453.01,2,1,2,212,Churned,Hibernating / Lost
12731,23,12,18895.91,4,5,5,455,Active,VIP / Core Loyalist
12732,179,1,236.26000000000002,1,1,1,111,Churned,Hibernating / Lost
12733,233,1,383.95,1,1,2,112,Churned,Hibernating / Lost
12734,352,1,110.39999999999999,1,1,1,111,Churned,Hibernating / Lost
12735,314,2,779.5699999999999,1,2,3,123,Churned,Hibernating / Lost
12736,332,1,234.0,1,1,1,111,Churned,Hibernating / Lost
12738,371,1,155.35,1,1,1,111,Churned,Hibernating / Lost
12739,77,2,1013.04,2,2,4,224,Active,Hibernating / Lost
12740,63,1,427.6,3,1,2,312,Active,New / Recent Trialist
12743,133,2,546.43,2,2,3,223,Churned,Hibernating / Lost
12744,51,7,21279.29,3,5,5,355,Active,Average Mid-Tier Core
12747,1,11,4196.01,5,5,5,555,Active,VIP / Core Loyalist
12748,0,210,33719.73,5,5,5,555,Active,VIP / Core Loyalist
12749,3,5,4090.88,5,4,5,545,Active,VIP / Core Loyalist
12750,128,1,275.88,2,1,2,212,Churned,Hibernating / Lost
12752,80,1,4366.78,2,1,5,215,Active,Hibernating / Lost
12753,22,6,21429.39,4,5,5,455,Active,VIP / Core Loyalist
12754,235,3,3010.74,1,3,5,135,Churned,At Risk / High-Value Lapsing
12755,280,2,3811.95,1,2,5,125,Churned,Hibernating / Lost
12756,86,1,112.07999999999998,2,1,1,211,Active,Hibernating / Lost
12757,15,13,7857.1,4,5,5,455,Active,VIP / Core Loyalist
12758,116,2,2791.59,2,2,5,225,Churned,Hibernating / Lost
12759,51,3,1531.44,3,3,4,334,Active,Average Mid-Tier Core
12762,7,2,1898.52,5,2,4,524,Active,Average Mid-Tier Core
12763,137,2,494.08,2,2,3,223,Churned,Hibernating / Lost
12764,316,1,1693.88,1,1,4,114,Churned,Hibernating / Lost
12766,3,7,6989.63,5,5,5,555,Active,VIP / Core Loyalist
12769,238,1,1143.6,1,1,4,114,Churned,Hibernating / Lost
12770,210,1,1351.45,1,1,4,114,Churned,Hibernating / Lost
12772,59,1,892.47,3,1,3,313,Active,New / Recent Trialist
12775,16,5,1386.04,4,4,4,444,Active,VIP / Core Loyalist
12778,19,6,822.23,4,5,3,453,Active,Average Mid-Tier Core
12779,37,8,3981.36,3,5,5,355,Active,Average Mid-Tier Core
12781,63,2,826.74,3,2,3,323,Active,Average Mid-Tier Core
12782,4,5,2330.92,5,4,5,545,Active,VIP / Core Loyalist
12783,1,6,2225.91,5,5,5,555,Active,VIP / Core Loyalist
12784,8,2,574.42,5,2,3,523,Active,Average Mid-Tier Core
12785,363,1,311.95,1,1,2,112,Churned,Hibernating / Lost
12787,9,3,463.66,5,3,2,532,Active,Average Mid-Tier Core
12789,64,1,91.85,3,1,1,311,Active,New / Recent Trialist
12790,191,1,324.92,1,1,2,112,Churned,Hibernating / Lost
12791,373,1,192.60000000000002,1,1,1,111,Churned,Hibernating / Lost
12792,256,1,400.53999999999996,1,1,2,112,Churned,Hibernating / Lost
12793,334,2,545.48,1,2,3,123,Churned,Hibernating / Lost
12794,52,2,860.41,3,2,3,323,Active,Average Mid-Tier Core
12795,18,1,430.48,4,1,2,412,Active,New / Recent Trialist
12797,365,1,254.03,1,1,2,112,Churned,Hibernating / Lost
12798,9,3,6977.04,5,3,5,535,Active,Average Mid-Tier Core
12802,186,1,427.58,1,1,2,112,Churned,Hibernating / Lost
12808,36,3,483.65000000000003,3,3,2,332,Active,Average Mid-Tier Core
12809,177,1,489.31,2,1,2,212,Churned,Hibernating / Lost
12811,260,3,514.85,1,3,3,133,Churned,At Risk / High-Value Lapsing
12812,44,1,229.64000000000001,3,1,1,311,Active,New / Recent Trialist
12814,101,1,125.92,2,1,1,211,Churned,Hibernating / Lost
12815,147,2,1063.46,2,2,4,224,Churned,Hibernating / Lost
12816,95,2,572.2,2,2,3,223,Churned,Hibernating / Lost
12817,280,1,166.04,1,1,1,111,Churned,Hibernating / Lost
12818,261,1,1542.08,1,1,4,114,Churned,Hibernating / Lost
12820,2,4,942.34,5,4,4,544,Active,VIP / Core Loyalist
12821,213,1,92.72,1,1,1,111,Churned,Hibernating / Lost
12822,70,2,948.88,3,2,4,324,Active,Average Mid-Tier Core
12823,74,5,1759.5,2,4,4,244,Active,At Risk / High-Value Lapsing
12824,59,1,397.12,3,1,2,312,Active,New / Recent Trialist
12826,2,7,1474.72,5,5,4,554,Active,VIP / Core Loyalist
12827,5,3,430.15000000000003,5,3,2,532,Active,Average Mid-Tier Core
12828,2,6,1018.71,5,5,4,554,Active,VIP / Core Loyalist
12829,336,2,293.0,1,2,2,122,Churned,Hibernating / Lost
12830,37,6,6814.64,3,5,5,355,Active,Average Mid-Tier Core
12831,261,1,215.05,1,1,1,111,Churned,Hibernating / Lost
12832,31,2,383.03,4,2,2,422,Active,Average Mid-Tier Core
12833,144,1,417.38,2,1,2,212,Churned,Hibernating / Lost
12834,282,1,312.38,1,1,2,112,Churned,Hibernating / Lost
12836,58,4,2612.86,3,4,5,345,Active,Average Mid-Tier Core
12837,172,1,134.1,2,1,1,211,Churned,Hibernating / Lost
12838,33,2,683.13,3,2,3,323,Active,Average Mid-Tier Core
12839,2,14,5591.42,5,5,5,555,Active,VIP / Core Loyalist
12840,143,4,2726.77,2,4,5,245,Churned,At Risk / High-Value Lapsing
12841,4,25,4022.35,5,5,5,555,Active,VIP / Core Loyalist
12842,69,2,1118.99,3,2,4,324,Active,Average Mid-Tier Core
12843,65,8,1702.26,3,5,4,354,Active,Average Mid-Tier Core
12844,28,2,325.96000000000004,4,2,2,422,Active,Average Mid-Tier Core
12845,266,4,354.09,1,4,2,142,Churned,At Risk / High-Value Lapsing
12847,21,1,871.54,4,1,3,413,Active,New / Recent Trialist
12849,30,2,1050.8899999999999,4,2,4,424,Active,Average Mid-Tier Core
12851,96,1,135.18,2,1,1,211,Churned,Hibernating / Lost
12852,294,1,311.55,1,1,2,112,Churned,Hibernating / Lost
12853,134,6,1957.1000000000001,2,5,4,254,Churned,At Risk / High-Value Lapsing
